Rank,Player,Country,Birthdate
1228,Bogdan Borza,ROU,4/5/1997
1229,Mert Naci Turker,TUR,8/16/1998
1230,Gibril Diarra,AUT,5/26/1990
1230,James Frawley,AUS,3/29/1994
1230,Mike Urbanija,SLO,12/26/1989
1233,Tim Heger,GER,10/26/1999
1234,Tomislav Jotovski,MKD,10/27/1990
1235,Fabio Coelho,POR,5/24/2000
1236,Mao Xin Gong,CHN,8/24/1987
1236,Nathaniel Lammons,USA,8/12/1993
1238,Miliaan Niesten,NED,6/27/1988
1239,Christian Sigsgaard,DEN,3/14/1997
1240,Francisco Llanes,URU,4/16/2002
1241,Ryohei Tagata,JPN,7/18/1999
1242,Alexander Knight,USA,12/11/1996
1242,Gregorio Lulli,ITA,4/26/1997
1244,James Trotter,JPN,
1244,N Sriram Balaji,IND,3/18/1990
1246,Jea Moon Lee,KOR,7/2/1993
1247,Adrian Andrzejczuk,POL,3/18/1996
1247,Felipe Martinez Sarrasague,ARG,4/2/1997
1247,Santiago Besada,ARG,4/6/1998
1250,Benedikt Henning,GER,4/28/1997
1250,Lasse Muscheites,GER,4/25/1996
1252,Ko Suzuki,JPN,8/3/1991
1253,Dejan Katic,SRB,3/7/1988
1253,Ti Chen,TPE,10/3/1983
1255,Andre Miele,BRA,4/12/1987
1255,Tom Fawcett,USA,10/18/1995
1257,Arsenije Zlatanovic,SRB,12/4/1989
1257,Spencer Papa,USA,10/22/1995
1259,Wilfredo Gonzalez,GUA,1/6/1993
1260,Luis Diego Chavez Villalpando,ESP,10/24/1995
1260,Roman Blokhin,RUS,3/16/1999
1262,Gustavo Heide,BRA,2/28/2002
1262,Leonardo Civita Telles,BRA,11/14/1995
1264,Florent Diep,FRA,9/24/1991
1264,Trent Bryde,USA,8/24/1999
1266,Mikolaj Lorens,POL,1/30/2002
1267,Marco Mosciatti,ITA,7/16/1997
1268,Filipe Brandao,BRA,12/13/1991
1269,Tim Handel,GER,10/18/1996
1270,Hao Wu,CHN,2/14/1997
1271,Alex Martinez,ESP,3/19/2001
1271,Harry Wendelken,GBR,12/18/2001
1271,Mauro De Maio,ITA,11/6/2001
1274,Francesco Maestrelli,ITA,12/21/2002
1274,Marek Jaloviec,CZE,1/21/1994
1276,Cing Yang Meng,TPE,7/19/1998
1277,Paul Cayre,FRA,4/26/1995
1277,Peter Makk,HUN,10/20/2001
1277,Petru Alexandru Luncanu,ROU,5/7/1989
1280,Maxence Broville,FRA,1/31/1999
1280,Sean Hodkin,GBR,10/31/1998
1282,Boris Fassbender,FRA,3/20/1998
1283,Mirko Cutuli,ITA,5/16/1996
1284,Congsup Congcar,THA,8/21/1996
1284,Mohamed Nazim Makhlouf,ALG,9/12/1996
1284,Timur Maulenov,KAZ,5/30/2000
1287,Kuzey Cekirge,TUR,4/29/2000
1288,Valentin Vanta,ROU,9/28/1997
1289,Goncalo Falcao,POR,2/22/1988
1289,N Vijay Sundar Prashanth,IND,10/27/1986
1289,Tomas Liska,SVK,7/31/1998
1292,Eduardo Ribeiro,BRA,3/17/1998
1292,Leonardo Aboian,ARG,4/20/1998
1294,Niklas Johansson,SWE,10/7/1998
1295,Jordan Hasson,ISR,10/12/1999
1296,Aaron Addison,AUS,11/12/1995
1296,Herbert Jody Maginley,ANT,6/7/1995
1298,Alex Barrena,ARG,
1299,Romain Barbosa,POR,4/17/1994
1299,Siem Woldeab,USA,6/6/2001
1299,Szymon Walkow,POL,9/22/1995
1302,Chad Kissell,USA,4/23/1996
1302,George Von Massow,GER,3/21/1990
1302,Gerald Melzer,AUT,7/13/1990
1302,Marcello Serafini,ITA,
1302,Mattias Siimar,EST,2/3/1998
1307,Yuya Ito,JPN,1/9/1997
1308,Daniel Cox,GBR,9/28/1990
1309,Millen Hurrion,GBR,
1310,Oleg Dolgosheyev,UKR,11/21/1990
1311,Jordi Munoz Abreu,VEN,1/17/1990
1312,Karol Drzewiecki,POL,11/1/1995
1312,Lukas Palovic,SVK,3/2/2002
1314,Federico Bertuccioli,ITA,8/14/1998
1314,Francisco Dias,POR,5/1/1992
1314,Igor Smilansky,ISR,3/26/1995
1314,Oscar Mesquida Berg,ESP,5/7/1996
1314,Viktor Jovic,SRB,
1314,Young Hoon Jeong,KOR,7/28/1989
1320,Preston Touliatos,USA,
1320,Yuta Kikuchi,JPN,
1322,Shamael Chaudhry,GBR,4/17/1996
1323,Paras Dahiya,IND,3/24/1998
1323,Sho Katayama,JPN,5/12/1989
1325,Blaise Bicknell,USA,
1325,Ivan Sergeyev,UKR,1/20/1988
1325,Milan Drinic,SRB,10/16/1997
1325,Radu Mihai Papoe,ROU,8/28/2002
1329,Kareem Allaf,SYR,3/22/1998
1330,Charl Morgan,RSA,7/26/2001
1331,Jared Hiltzik,USA,7/8/1994
1332,Bozo Barun,CRO,
1332,Cyril Vandermeersch,FRA,5/6/1999
1332,Eliot Spizzirri,USA,12/23/2001
1332,Gabor Borsos,HUN,6/30/1991
1332,Maik Steiner,GER,6/19/1994
1332,Sergio Galdos,PER,1/2/1990
1332,Tyler Zink,USA,1/30/2001
1339,Milen Ianakiev,GER,7/20/1995
1339,Yeongseok Jeong,KOR,3/4/2000
1341,Marat Sharipov,KAZ,3/31/1987
1342,Patrik Hartmeier,SUI,1/4/1997
1343,Glenn Smits,NED,10/24/1990
1343,Luis Humberto Lopez,MEX,7/26/1997
1343,Sergei Pogosian,RUS,7/12/1998
1346,Vladislav Melnic,ROU,6/23/1999
1346,Yuichiro Inui,JPN,4/2/1995
1348,Benard Bruno Nkomba,AUS,9/8/1999
1348,Luciano Carraro,ARG,4/22/1998
1350,Axel Garcian,FRA,6/7/2002
1350,Federico Moreno,ARG,8/5/1994
1350,Goran Markovic,SRB,9/17/1995
1350,Jose Joaquin Miranda Cisneros,ESP,6/21/2000
1350,Kiranpal Pannu,NZL,1/7/1997
1350,Samuel Vincent Ruggeri,ITA,
1356,Alberto Colas Sanchez,ESP,5/19/2000
1356,Aliaksandr Bulitski,BLR,4/14/1993
1356,Fernando Yamacita,BRA,10/1/1997
1356,Naoki Takeda,JPN,6/11/1993
1356,Stefan Micov,MKD,8/12/1992
1361,Grey Hamilton,USA,9/30/1996
1362,Ben Jones,GBR,5/19/1998
1362,Wei Qiang Zheng,CHN,6/22/1996
1364,Buvaysar Gadamauri,BEL,7/10/2000
1364,Neil Oberleitner,AUT,8/5/1999
1364,Nicholas Alexander Reyes,USA,1/17/1995
1367,Gabriel Ciro Da Silva,BRA,8/4/1999
1367,Keenan Mayo,USA,
1369,Afonso Salgado,POR,5/8/1997
1369,Amr Asrawy,EGY,
1369,Courtney John Lock,ZIM,10/18/1996
1369,Jake Delaney,AUS,5/14/1997
1369,Michal Mikula,POL,3/4/2000
1369,Rowland Phillips,JAM,1/23/1994
1369,Sam Taylor,SWE,7/3/1997
1369,Viacheslav Yulik,RUS,9/6/2000
1377,Conor Berg,USA,8/17/1991
1377,Kai Lemstra,GER,6/19/1999
1377,Nicolas Bianchi,ARG,11/10/1996
1380,Samuel Brosset,FRA,1/14/1998
1381,Anatoliy Petrenko,UKR,12/4/1995
1381,Chanchai Sookton Eng,AUS,8/25/1996
1381,Jayden Court,AUS,6/19/2000
1381,Mousa Alkotop,JOR,6/25/1998
1381,Pavel Krainik,CAN,9/28/1992
1386,Beibit Zhukayev,KAZ,10/12/2000
1387,Boris Butulija,SRB,1/4/1999
1388,George Botezan,ROU,2/5/1997
1388,Jack Gibbens,GBR,6/23/1997
1390,Juan Pablo Canas Garcia,ESP,3/8/1997
1390,Martin Borisiouk,BLR,7/4/2000
1390,Puriwat Chatpatcharoen,THA,8/3/1995
1393,Hanyi Liu,CHN,5/23/2001
1393,Mikhail Korovin,RUS,2/26/1996
1395,Chandril Sood,IND,2/20/1991
1395,Fabiano De Paula,BRA,11/28/1988
1395,Jakob Schnaitter,GER,3/7/1996
1395,Lukas Greif,USA,12/2/1999
1395,Yasunori Hashikawa,JPN,12/17/1998
1400,Antonin Bolardt,CZE,6/7/1998
1400,Jack Mingjie Lin,CAN,4/15/1999
1400,Kai Breitbach,GER,2/28/1998
1400,Nicaise Muamba,CAN,8/28/2000
1400,Nikola Cacic,SRB,12/7/1990
1405,Alexander Stepin,RUS,
1406,Dominik Kellovsky,CZE,7/24/1996
1406,Enzo Wallart,FRA,2/12/1997
1408,Luka Petrovic,GBR,
1408,Murkel Alejandro Dellien Velasco,BOL,9/16/1997
1408,Robin Thour,SWE,11/27/1994
1408,Yong Kyu Lim,KOR,6/18/1991
1412,John Hallquist Lithen,SWE,12/3/2001
1412,Loris Pourroy,FRA,1/1/2001
1412,Rrezart Cungu,MNE,7/18/1998
1415,Alexander Pavlioutchenkov,RUS,12/3/1985
1415,Faisal Qamar,IND,7/27/1999
1415,Hong Chung,KOR,5/16/1993
1415,Karue Sell,BRA,11/13/1993
1415,Sebastien Boltz,FRA,4/5/1993
1415,Thantub Suksumrarn,THA,
1421,Gianni Ross,USA,2/4/1999
1421,Mason Recci,GBR,1/23/1997
1421,Oh Hee Kwon,KOR,6/18/1978
1421,Rodrigo Echavarria,COL,12/10/1996
1421,Thomas Bosancic,AUS,7/15/2000
1426,Agustin Maria Gascia,ARG,
1426,Aidan Mayo,USA,5/14/2003
1426,Benjamin Niv,BUL,10/12/2000
1426,Christian Oliveira,BRA,12/9/1999
1426,David Agung Susanto,INA,7/21/1991
1426,Jaime Caldes,ESP,2/22/2001
1426,Len Schouten,NED,3/18/1999
1426,Luciano Tacchi,ARG,4/26/2001
1426,Manuel Barros,ARG,5/19/1994
1426,Richard Muzaev,RUS,3/21/1992
1426,Tom Hands,GBR,11/2/1996
1437,Miles Jones,USA,12/26/2000
1437,Mili Poljicak ,CRO,
1437,Siddharth Vishwakarma,IND,10/7/1994
1437,Walter Trusendi,ITA,1/3/1985
1441,Daniel Little,GBR,5/16/1997
1441,Gilad Tamar,ISR,4/28/2000
1441,Jatin Dahiya,IND,9/29/1992
1441,Jerome Kym,SUI,2/12/2003
1441,Jordan Parker,GBR,2/21/1995
1441,Joseph Imeh Ubon,NGR,5/9/1997
1441,Lorenzo Brunetti,ITA,6/27/1995
1441,Marco De Rossi,SMR,6/27/1997
1441,Mark Tryakshin,UZB,7/26/2001
1441,Noah Schachter,USA,9/6/1999
1441,Tristan Meraut,FRA,12/27/1995
1452,Ameur Ben Hassen,TUN,6/28/1993
1453,Alessandro Procopio,ITA,3/11/1998
1453,Andres Urrea,COL,8/31/1994
1453,Dylan Salton,RSA,9/9/2002
1453,Henri Squire,GER,9/27/2000
1453,Logan Zapp,USA,11/19/2001
1453,Mats Hermans,NED,4/6/1996
1453,Paul Valsecchi,FRA,8/20/1997
1453,Scott Duncan,GBR,8/21/1994
1453,Thomas Yaka Kofi Setodji,TOG,10/13/1995
1462,Ronald Hohmann,USA,8/1/2001
1463,Alexandru Vasile Manole,ROU,9/21/1998
1463,Anton Chekhov,RUS,9/15/1992
1463,Mayeul Darras,FRA,2/1/1999
1463,Mikal Oliver Statham,NZL,4/25/1987
1463,Sheil Kotecha,KEN,3/28/2000
1463,Vasko Mladenov,BUL,7/30/1989
1469,Krittin Koaykul,THA,3/31/1995
1469,Olimjon Nabiev,UZB,6/25/2002
1471,Alexander Klintcharov,NZL,8/25/1996
1471,Jose Daniel Bendeck,COL,12/24/1990
1471,Juan Ignacio Alcalde,ARG,7/18/1999
1471,Rishi Reddy,IND,4/6/1998
1471,Samuel Puskar,SVK,4/21/2000
1471,Thomas Deschamps,BEL,7/19/1996
1471,Yeudy Villar,DOM,9/28/2000
1471,Youcef Rihane,ALG,
1471,Yvo Panak,CZE,8/21/1995
1480,Gian Marco Ortenzi,ITA,2/3/2000
1481,Alexander Jhun,GBR,5/8/1995
1481,Karunuday Singh,IND,11/19/1990
1481,Leonid Sheyngezikht,BUL,11/4/2000
1481,Marco Saffratti,ARG,9/10/1999
1481,Nicholas Bybel,USA,10/25/1993
1481,Sean Cuenin,FRA,2/16/2004
1481,Seon Yong Han,KOR,1/18/2001
1481,Suraj R Prabodh,IND,1/8/1995
1481,Thanapet Chanta,THA,9/9/1999
1490,Alexander Ovcharov,RUS,6/17/1998
1490,Jake Hersey,GBR,5/21/2000
1490,Lucas Bouquet,FRA,8/5/1997
1490,Zakhar Trapeznikov,RUS,4/7/1998
1494,Lukas Hellum Lilleengen,NOR,11/15/2000
1495,Alessandro Ceppellini,ITA,10/7/1996
1495,James Ibrahim,AUS,4/12/1998
1495,Moritz Thiem,AUT,12/8/1999
1498,Dante Gennaro,ARG,5/14/1993
1498,George Goldhoff,USA,1/14/1995
1498,Yassir Kilani,MAR,8/10/2000
1501,Alessandro Coppini,ITA,5/1/1998
1501,Yann Wojcik,SUI,11/29/1996
1503,Admir Kalender,CRO,1/12/2001
1503,Kunal Anand,IND,6/2/1992
1503,Max Alcala Gurri,ESP,9/11/2002
1503,Nicolas Tepmahc,FRA,5/23/2001
1503,Piotr Matuszewski,POL,4/22/1998
1508,Agustin Riquelme,ARG,4/8/2000
1508,Mert Alkaya,TUR,6/14/2000
1510,Andrej Glvac,SVK,1/31/1997
1511,Costin Paval,ROU,9/1/1990
1511,George Stoupe,NZL,
1511,Hanamichi Carvajal,CHI,5/16/2002
1511,Ivailo Keremedchiev,BUL,5/30/2000
1511,Loic Cloes,BEL,11/13/1998
1511,Luca Keist,SUI,4/21/1998
1511,Lukas Ollert,GER,11/25/1992
1511,Menelaos Efstathiou,CYP,3/2/1999
1511,Robertas Vrzesinski,LTU,3/2/1998
1511,Wil Spencer,USA,9/8/1989
1522,Aristarkh Safonov,RUS,
1522,Bruno Kuzuhara,USA,
1522,Hugo Pierre,FRA,3/13/1996
1522,Jianhui Li,CHN,1/18/1996
1522,Jurgen Melzer,AUT,5/22/1981
1522,Kody Pearson,AUS,7/26/1999
1522,Lucio Carnevalle,ARG,11/12/2001
1522,Sander Arends,NED,8/9/1991
1522,Sergey Shipilov,UZB,7/3/1993
1522,Sergio Luis Hernandez Ramirez,COL,8/28/1999
1522,Shunsuke Mitsui,JPN,
1533,Ahmed Chaudary,PAK,12/17/1993
1533,Alessandro Pecci,ITA,
1533,Bastian Trinker,AUT,5/11/1990
1533,Carson Haskins,USA,8/5/1999
1533,Christian Lerby,NED,11/7/2001
1533,Demetris Azoides,GRE,10/9/2000
1533,Edouard Villoslada ,FRA,
1533,Eric Hadigian,USA,11/22/1999
1533,Joao Victor Couto Loureiro,BRA,3/28/2003
1533,Jordan Smith,CAN,1/7/1989
1533,Lance Pierre Du Toit,RSA,1/15/1999
1533,Yannik Reuter,BEL,3/6/1991
1545,Giles Hussey,GBR,5/26/1997
1545,Ilarion Danilchenko,RUS,
1545,Louis Lechevretel,FRA,4/16/1996
1545,Marko Topo,SRB,9/13/2003
1545,Mathieu Scaglia,FRA,11/23/1998
1545,Tyler Lu,USA,8/12/1995
1551,Aleksandar Tomas,AUT,6/26/2003
1551,Cleeve Harper,CAN,12/24/2000
1551,Davide Albertoni,ITA,2/1/1996
1551,Jakob Sude,GER,6/18/1991
1551,Max Basing,GBR,
1551,Pablo Alemany,ESP,
1551,Santiago Bramajo,ARG,11/7/2000
1551,Sung Jun Park,KOR,2/18/1994
1551,Tamaki Yamao,JPN,8/21/1998
1551,Valerio Aboian,ARG,
1561,Aleksander Orlikowski,POL,
1561,Alexander Gaponenko,ISR,6/1/2002
1561,Davide Pontoglio,ITA,7/2/1992
1561,Jacob Brumm,USA,11/30/1998
1561,Joshua Dous Karpenschif ,FRA,
1561,Rodrigo Banzer,BOL,1/29/1997
1561,Shi Hong Zeng,CHN,7/18/1997
1568,Alexandre Rotsaert,USA,10/14/1999
1568,Alvaro Saez Royuela Ariza,ESP,8/11/2000
1568,Antonin Stepanek,CZE,4/15/1999
1568,Artur Shakhnubaryan,RUS,8/16/1996
1568,Bulat Galiev,RUS,10/16/1997
1568,Daniel Mora,COL,6/21/1996
1568,Franco Capalbo,ARG,12/26/1997
1568,Giovanni Rizzuti,ITA,5/13/1995
1568,Jason Kros,USA,7/3/1997
1568,Jesse Witten,USA,10/15/1982
1568,Jiri Jenicek,CZE,12/14/1999
1568,Joshua Howard Tripp,RSA,6/24/1999
1568,Julian Gimenez,ARG,2/23/2001
1568,Luca George Tatomir,ROU,8/21/1995
1568,Luigi Castelletti,ITA,
1568,Markus Schultz,SWE,11/5/1993
1568,Masamichi Imamura,JPN,11/23/1998
1568,Mihailo Popovic,SRB,
1568,Minjong Park,KOR,10/22/2001
1568,Mischa Lanz,SUI,5/31/2000
1568,Pasquale De Giorgio,ITA,4/27/1999
1568,Patrik Nema,SVK,10/25/1997
1568,Philip Bachmaier,AUT,10/30/1996
1568,Roland Stuurman,NED,6/6/1999
1568,Sprithvi Sekhar,IND,10/3/1993
1568,Stephen Kaldawi,AUS,8/28/1995
1568,Takuya Kumasaka,JPN,10/12/1998
1568,Tuki Jacobs,NAM,12/10/1994
1568,Valentin Vacherot,FRA,11/16/1998
1568,Victor Nunez,CHI,5/25/1991
1598,Daniel Paty,CZE,10/4/1999
1599,Andre Gaspar Murta,POR,8/8/1994
1599,Arturs Lazdins,LAT,4/9/1997
1599,Chayanon Kaewsuto,THA,6/16/1995
1599,Christian Seraphim,GER,5/25/1995
1599,Danil Spasibo,RUS,6/19/2001
1599,Edward Hubner,GBR,4/27/1998
1599,George Houghton,GBR,7/11/1998
1599,Giuseppe La Vela,ITA,10/16/2000
1599,Henrik Traskin,LTU,10/17/1998
1599,Hugo Largo,ESP,7/23/1997
1599,Hugo Voljacques,FRA,12/30/1992
1599,Igor Saveljic,MNE,8/17/1995
1599,Ivan Endara,ECU,3/4/1988
1599,Jiri Barnat,CZE,7/26/2001
1599,Joao Marcos Nusdeo,BRA,11/30/1994
1599,Karl Kiur Saar,EST,4/21/1996
1599,Kevin Major,BAH,3/25/1995
1599,Leonardo Malgaroli,ITA,
1599,Lodewijk Weststrate,NED,7/1/2001
1599,Loic Ratsaratany,FRA,5/31/1999
1599,Lorenzo Claverie,VEN,
1599,Martins Rocens,LAT,4/9/2000
1599,Maxim Krapivin,RUS,12/12/1999
1599,Michael Gloeckler,AUT,9/13/1998
1599,Michael Look,AUS,11/24/1987
1599,Neel Rajesh,USA,11/14/2000
1599,Neil Pauffley,GBR,3/29/1990
1599,Niccolo Inserra,ITA,7/20/1999
1599,Noah Thurner,GER,1/27/2000
1599,Perry Gregg,USA,7/6/2000
1599,Pietro Marino,ITA,
1599,Sebastian Murillo,USA,8/12/1999
1599,Taha Kapadia,IND,11/2/1997
1599,Thiago Cigarran,ARG,3/26/2000
1599,Viacheslav Bielinskyi,UKR,12/2/2003
1599,Young Seok Kim,KOR,5/12/1995
1599,Yunosuke Tanaka,JPN,3/3/1999
1636,Marco Furlanetto,ITA,
1637,Alexander Boborykin,RUS,6/3/1996
1637,Chak Lam Coleman Wong,HKG,6/6/2004
1637,Damien Bayard,FRA,2/29/1996
1637,Digvijaypratap Singh,IND,6/2/2000
1637,Fausto Tabacco,ITA,5/13/2002
1637,Grigoriy Korobeynikov,UZB,9/7/1998
1637,Ilya Snitari,MDA,
1637,Janis Podzus,LAT,6/29/1994
1637,Lior Goldenberg,ISR,12/22/1999
1637,Louroi Martinez,SUI,10/1/1998
1637,Max Wiskandt,GER,2/1/2002
1637,Nicolas Parizzia,SUI,9/15/1998
1637,Pavel Verbin,RUS,
1637,Petr Bar Biryukov,RUS,
1637,Pol Amoros Ramos,ESP,2/24/1998
1637,Ranjeet Virali Murugesan,IND,9/30/1985
1637,Tomohiro Masabayashi,JPN,3/5/1998
1654,Guillaume Dermiens,BEL,9/4/1999
1654,Kalin Ivanovski,MKD,
1654,Riaan Du Toit,CAN,4/15/1994
1657,Adam Jones,GBR,5/8/1998
1657,Andrea Borroni,ITA,6/9/1995
1657,Davide Tortora,ITA,9/22/2000
1657,Deney Wassermann,NED,3/25/2001
1657,Dusan Rajic,SRB,4/27/1999
1657,Finn Bass,GBR,10/9/1999
1657,Fletcher Scott,USA,12/10/1998
1657,Gustaf Strom,SWE,9/22/2001
1657,Hasan Ibrahim,GER,8/17/1995
1657,Hazem Naw,UNK,1/1/2000
1657,Jirat Navasirisomboon,THA,11/17/1996
1657,Juan Pablo Grassi Mazzuchi,ARG,8/28/1999
1657,Kristof Minarik,SVK,
1657,Luciano Doria,ARG,1/27/1993
1657,Mate Voros,HUN,3/6/2000
1657,Nicholas Shamma,USA,10/7/1996
1657,Paolo Dagnino,ITA,10/27/1997
1657,Riccardo Di Nocera,ITA,5/11/2000
1657,Sanetulla Kutybaev,UZB,12/4/1997
1657,Shohei Chikami,JPN,10/22/1998
1657,Toby D Boyer,USA,6/25/1996
1657,Xavier Gabarro,ESP,10/16/1999
1679,Federico Campana,ITA,4/13/1998
1679,Hillel Rousseau,HAI,6/16/1995
1681,Andres Gabriel Ciurletti,ARG,1/4/1998
1681,Constant De La Bassetiere,FRA,1/22/1998
1681,Dali Blanch,USA,
1681,Daniel Siniakov,CZE,
1681,David Szintai,HUN,6/9/1997
1681,Felipe Derdoy,ARG,2/9/1997
1681,Gleb Blekher,CAN,
1681,Leonardo Taddia,ITA,1/29/2000
1681,Luke Jacob Gamble,USA,4/18/1995
1681,Martin Dimitrov,BUL,2/12/1981
1681,Sebastian Eguez,BOL,7/26/1995
1681,William Ma,AUS,9/9/1995
1693,Faris Zakaryia,EGY,5/13/2001
1694,Berk Ilkel,TUR,7/28/2001
1694,Bruno Pujol Navarro,ESP,8/27/2001
1694,Carles Hernandez,ESP,4/25/2001
1694,Dominik Nazaruk,POL,10/14/1996
1694,Gabriele Bosio,ITA,11/25/2000
1694,Ishaque Eqbal,IND,1/17/1998
1694,Kento Tagashira,JPN,9/20/1993
1694,Patrick Foley,GBR,4/12/1995
1694,Ren Nakamura,JPN,1/31/1995
1694,Ricardo David Mayagoitia,MEX,6/19/1994
1694,Rotem Sobol,ISR,9/6/2001
1694,Vladimir Filip,ROU,7/31/1995
1694,William Grant,USA,2/13/2001
1707,Amaury Delmas,FRA,4/1/1998
1707,Ken Onishi,JPN,2/18/1996
1707,Mousheg Hovhannisyan,USA,10/4/1991
1707,Nemanja Malesevic,BIH,8/19/2001
1707,Nicolas Bruna,CHI,1/19/1999
1707,Sergey Bolotov,RUS,5/14/1999
1707,Skyler Butts,HKG,9/18/1993
1707,Woravin Kumthonkittikul,THA,2/25/1995
1715,Gregorio Cordonnier,ARG,2/2/1996
1716,Esteban Bruna,CHI,1/19/1995
1716,Pedro Boscardin Dias,BRA,1/28/2003
1716,Roi Ginat,ISR,2/18/2001
1716,Saba Purtseladze,GEO,8/20/2001
1716,Shahar Elbaz,ISR,2/3/1997
1716,Stefano Baldoni,ITA,8/26/1997
1716,Terence Das,IND,1/30/2002
1723,Boris Arias,BOL,11/9/1993
1724,Adrian Oetzbach,GER,10/29/1997
1724,Daniel Batista,POR,12/6/1998
1724,Dominik Recek,CZE,2/19/1995
1724,Matthew Dellavedova,AUS,5/30/2000
1724,Pedro Iamachkine,PER,4/3/1996
1729,Natan Rodrigues,BRA,2/2/2002
1730,Anze Arh,SLO,2/14/1999
1731,Muthu Aadhitiya Senthilkumar,IND,1/14/2000
1732,Preston Brown,USA,8/23/2001
1733,Adam Heinonen,SWE,8/22/2002
1733,Adria Soriano Barrera,ESP,6/2/1999
1733,Alberto Cammarata,ITA,4/8/1993
1733,Alejandro Licea,ESA,
1733,Alejandro Reguant,ESP,6/29/1998
1733,Alvaro Guillen Meza,ECU,1/2/2003
1733,Aly Shokeir,EGY,1/11/2002
1733,Amine Ahouda,MAR,9/11/1997
1733,Andreja Petrovic,NOR,2/1/2000
1733,Andrew Dale,USA,
1733,Bang Shuo Yin,TPE,2/27/1999
1733,Barnaby Smith,GBR,5/4/1999
1733,Benito Sanchez Martinez,GER,4/30/2002
1733,Benjamin L Ambrosio,ARG,3/13/2001
1733,Biagio Gramaticopolo,ITA,
1733,Blazo N Djurovic,AUS,4/2/1996
1733,Blu Baker,GBR,
1733,Bradley Frye,USA,
1733,Brian Cernoch,USA,9/9/1999
1733,Cameron Henricy Trigolos,ESP,
1733,Carlos Andres Sepulveda Navarro,COL,2/28/1997
1733,Claudio Grassi,ITA,7/25/1985
1733,Cosmin Ontica,ROU,3/22/1995
1733,Daniel Ibragimov,RUS,
1733,Din Karahodza,GER,
1733,Eduardo Nava,USA,3/11/1997
1733,Elmer Moller,DEN,
1733,Emilien Burnel,FRA,11/2/2000
1733,Eric Jr Olivarez,PHI,
1733,Fardeen Qamar,IND,
1733,Finn Murgett,GBR,9/17/2001
1733,Fouad Behbehani,KUW,5/31/2000
1733,Gabriele Piraino,ITA,
1733,Gianluca Beghi,ITA,7/16/1991
1733,Giovanni Oradini,ITA,9/14/1997
1733,Goran Zivotic,SRB,
1733,Hayato Kudo,JPN,9/19/1998
1733,Henrique Rocha,POR,4/6/2004
1733,Hyung Chan Lim,KOR,11/14/1985
1733,Igor Karpovets,UKR,3/6/1999
1733,Igor Solomatin,UKR,12/16/1998
1733,Japheth Anwasiba Bagerbaseh,GHA,
1733,Jeson Patrombon,PHI,3/27/1993
1733,Jesse Timmermans,NED,3/17/1989
1733,Joe Tyler,GBR,11/1/1998
1733,Johannes Fleischmann,GER,10/9/1999
1733,Joshua Sheehy,USA,1/28/1997
1733,Julian Schubert,AUT,
1733,Jun Sang Park,KOR,1/14/1995
1733,Juraj Masar,SVK,7/10/1992
1733,Lilian Prodhomme,FRA,11/25/1998
1733,Linus Erhart,AUT,8/3/1994
1733,Lucas Luini,ARG,
1733,Luka Todorovic,SRB,
1733,Lukas Mugevicius,LTU,12/7/1994
1733,Luke Phillips,USA,8/21/1998
1733,Macsen Sisam,NZL,5/3/2000
1733,Madhwin Kamath,IND,
1733,Mateo Gomez,COL,4/29/2002
1733,Maurus Malgiaritta,SUI,
1733,Maxim Tybar,BLR,6/1/1998
1733,Nicolas Acevedo,CHI,9/25/1999
1733,Nicolas Zanellato,BRA,
1733,Nikita Volonski,AUS,9/7/2001
1733,Obrad Markovski,MKD,11/1/2000
1733,Olle Wallin,SWE,
1733,Oscar Mancineiras Cornella,ESP,2/17/1995
1733,Ozan Colak,USA,
1733,Philipp Schroll,AUT,6/12/1996
1733,Pierre Antoine Tailleu,FRA,
1733,Raphael Lambling,FRA,5/2/2000
1733,Razvan Baiant,CAN,9/17/2000
1733,Reece Falck,NZL,
1733,Rene Schulte,GER,4/10/1989
1733,Samuel Hodor,SVK,7/18/1996
1733,Sherif Abohabaga,EGY,7/6/1994
1733,Shota Tange,JPN,
1733,Shunrou Takeshima,JPN,8/25/1990
1733,Simonas Zukauskas,LTU,2/9/1999
1733,Stefan Popovic,SRB,
1733,Stefan Skadarka,AUS,12/21/1998
1733,Teodor Giusca,ROU,12/29/1999
1733,Thomas Braithwaite,AUS,
1733,Washi Gervais,CAN,4/21/1994
1733,Yannick Jankovits,FRA,1/6/1987
1733,Zhao Zhao,CHN,3/1/2000
1819,Adrien Bossel,SUI,12/28/1986
1819,Aissa Benchakroun,MAR,
1819,Alejandro Sanchez Gonzalez,ESP,
1819,Alessandro Ragazzi,ITA,12/24/1996
1819,Alexander Lazov,BUL,7/9/1990
1819,Alexis Klegou,BEN,1/25/1989
1819,Anton Zaitsev,RUS,7/22/1987
1819,Arthur Weber,FRA,5/9/1992
1819,Austin Ansari Ansari,USA,3/3/1994
1819,Axel Nefve,USA,7/22/2000
1819,Brandon Murphy,GBR,7/19/2000
1819,Brandon Perez,VEN,1/14/2000
1819,Carl Bret Parko,EST,10/17/2000
1819,Carles Batlle,ESP,4/15/2000
1819,Carlos Hassey,USA,6/1/1999
1819,Cesar Bourgois,FRA,11/14/1997
1819,Chrisjan Van Wyk,RSA,
1819,Christian Lakoseljac,CAN,12/23/1998
1819,Daniel Merida Aguilar ,ESP,
